Kjedenavn;1_Kategori_nr;1_Kategori_navn;2_Hovedvaregruppe_nr;2_Hovedvaregruppe_navn;3_Undervaregruppe_nr;3_Undervaregruppe_navn;4_Varegruppe_nr;4_Varegruppe_navn;Hovedvaregruppenr_UNSPSC;Hovedvaregruppenavn_UNSPSC;Undervaregruppe_1_nr_UNSPSC;Undervaregruppe_1_navn_UNSPSC;Undervaregruppe_2_nr_UNSPSC;Undervaregruppe_2_navn_UNSPSC;Undervaregruppe_3_nr_UNSPSC;Undervaregruppe_3_navn_UNSPSC;NG Sortimentskode;EAN D-Pakn;EAN F-Pakn;Varenummer;Nytt Varenummer;Varenavn;Antall;Pakn.type;Mengde;Måleenhet;Nettovekt;Pris pakn.type;Pris bestill.enh;Pris måleenhet;Anbrekk;Antall i anbrekk;OrdreBetingelser;Holdbarhet;Temperaturkrav;Maksimumstemperatur;Minimumstemperatur;Vektvare;Leverandørnavn;MVA;Energi kilojoule;Energi kcal;Protein;Karbohydrat;Fett;Sukker;Mettede fettsyrer;Kostfiber;Natrium;Flerumettede fettsyrer;Jern;Kalium;Egg;Fisk;Gluten;Melk;Nøtter;Peanøtter;Selleri;Sennep;Sesam;Skalldyr;Soya;Sulfitt;Bløtdyr;Lupiner;Svanen;Blomsten;FSC;MSC;Ø-merket (Debio);EU sitt økologimerke;Krav;Fairtrade;TCO;Energy Star;Nøkkelhullet;Nyt Norge;Genmodifisert;Økologisk;Allergitestet;Varebilde_url;Miljøbilde_url;HMS-datablad_url;Varedeklarasjon;Vare_beskrivelse
VOIS;10;TØRRVARE;1;BAKEVARER;101;MEL;1001;ØVRIG, MEL;50000000;Mat, drikkevarer og tobakksprodukter;50220000;Korn- og belgfruktprodukter;50221100;Korn;50221102;Matmel;;7090006042183;7090006042084;4048971;;HVETEGRØPP 1KG KVELDE MØLLE;6;pos;1;kg;1;17,96;107,76;17,96;;;J;50;Tørrvare / Ingen krav;;;N;KVELDE MØLLE AS;15;1220;290;12;58;2,5;2;0;0;;0;;;Fri for;Fri for;Ja inneholder;Fri for;Kan inneholde spor av;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7090006042084/as/large.jpg;https://bilder.ngdata.no/7090006042084/campaign/large.jpg;;HVETE NORSK;
VOIS;10;TØRRVARE;1;BAKEVARER;101;MEL;1002;HVETEMEL;50000000;Mat, drikkevarer og tobakksprodukter;50220000;Korn- og belgfruktprodukter;50221100;Korn;50221102;Matmel;1;7044416012601;7044410110310;4330924;;HVETEMEL SIKTET 2KG REGAL;4;pos;2;kg;2;21,59;86,36;10,8;;;N;50;Tørrvare / Ingen krav;0;0;N;LANTMÄNNEN CEREALIA AS;15;1450;350;12;68;2;1,7;0,3;3,3;;;;;Fri for;Fri for;Ja inneholder;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7044410110310/as/large.jpg;https://bilder.ngdata.no/7044410110310/campaign/large.jpg;;Hvetemel, melbehandlingsmiddel (askorbinsyre). Inneholder 80% av kornets bestanddeler.;Alle som baker
VOIS;10;TØRRVARE;1;BAKEVARER;104;GRYNVARER;1005;ØVRIG, GRYNVARER;50000000;Mat, drikkevarer og tobakksprodukter;50220000;Korn- og belgfruktprodukter;50221100;Korn;50221102;Matmel;3;7044416003654;7044416003654;1740133;;SEMULEGRYN 25KG REGAL;1;sek;25;kg;25;345,35;345,35;13,81;;;J;50;Tørrvare / Ingen krav;;;N;LANTMÄNNEN CEREALIA AS;15;1440;340;12;67;2;1,7;0,3;3,5;;0,2;;;Fri for;Fri for;Ja inneholder;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7044416003654/as/large.jpg;https://bilder.ngdata.no/7044416003654/campaign/large.jpg;;Hvete;Semulegryn er en grynfraksjon (kjernepartikler) tatt ut ved formaling av siktet hvetemel. Den består av hvite, rene gryn uten innblanding av klipartikler. Semulegryn egner seg godt til diverse grøttyper, puddinger, pasta og til andre kokte produkter. Er også velegnet som dekor i vanlig bakeriproduksjon.
VOIS;10;TØRRVARE;1;BAKEVARER;104;GRYNVARER;1006;HAVREGRYN;50000000;Mat, drikkevarer og tobakksprodukter;50220000;Korn- og belgfruktprodukter;50221100;Korn;50221102;Matmel;1;7044416013158;7044416013141;4517702;;HAVREGRYN LETTKOKTE 1,1KG BJØRN;12;pos;1,1;kg;1,1;24,25;291;22,05;;;J;50;Tørrvare / Ingen krav;0;0;N;LANTMÄNNEN CEREALIA AS;15;1550;370;11;60;7,5;1;1,1;10;;2,4;3,5;370;Fri for;Fri for;Ja inneholder;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;J;N;N;N;N;https://bilder.ngdata.no/7044416013141/as/large.jpg;https://bilder.ngdata.no/7044416013141/campaign/large.jpg;;Havregryn (100% fullkorn);Alle som spiser havregryn
VOIS;10;TØRRVARE;1;BAKEVARER;107;GRILJERMEL/STRØKAVRING;1007;GRILJERMEL/STRØKAVRING;50000000;Mat, drikkevarer og tobakksprodukter;50220000;Korn- og belgfruktprodukter;50221100;Korn;50221102;Matmel;3;7300400702843;7300400127455;2153435;;GRILJERMEL 400G IDEAL;12;pk;0,4;kg;0,4;20,98;251,76;52,45;;;J;50;Tørrvare / Ingen krav;;;N;BARILLA NORGE;15;1667;396;11;65;8,5;4,5;0,8;7,5;;;;;Fri for;Fri for;Ja inneholder;Fri for;Fri for;Fri for;Fri for;Fri for;Kan inneholde spor av;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7300400127455/as/large.jpg;https://bilder.ngdata.no/7300400127455/campaign/large.jpg;;Hvetemel, fullkornrugmel, solsikkeolje, gjær, sukker, valmuefrø, salt, rugmel, maltet bygg;Ideal Griljermel er laget av ferskt, nystekt knekkebrød bakt av hvete og rug. Det har en nøytal og ren smak og passer godt til panering, desserter og baking.
VOIS;10;TØRRVARE;1;BAKEVARER;107;GRILJERMEL/STRØKAVRING;1007;GRILJERMEL/STRØKAVRING;50000000;Mat, drikkevarer og tobakksprodukter;50220000;Korn- og belgfruktprodukter;50221100;Korn;50221102;Matmel;1;58414472101849;8414472101844;5359658;;PANKO PANERING GLUTENFRI 200G ESGIR;12;pos;0,2;kg;0,2;30,55;366,6;152,75;*;1;J;50;Tørrvare / Ingen krav;0;0;N;HAUGEN - GRUPPEN;15;1598;377;8;82;1,2;5;0,5;0;;0;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Kan inneholde spor av;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/8414472101844/as/large.jpg;https://bilder.ngdata.no/8414472101844/campaign/large.jpg;;Mais 99%, rismel, sukker, emulgator: solsikkelecitin;Esgir Panko panering er bedre enn vanlig panko. Brukes til både panering og fritering. Perfekt gyllengult resultat med sprø utside fra klassisk Schnitzel til fisk, skalldyr og fried chicken.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1012;SUKKER;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161509;Naturlig sukker eller søtningsprodukter;1;25701259103304;25701259103304;3320686;;SUKKER 25KG NORDIC SUGAR;1;sek;25;kg;25;620,06;620,06;24,8;;;N;50;Tørrvare / Ingen krav;0;0;N;UNIL AS;15;1700;400;0;100;0;100;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/25701259103304/as/large.jpg;https://bilder.ngdata.no/25701259103304/campaign/large.jpg;;Sukker.;Hvitt strøsukker.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1011;SIRUP;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161512;Sirup;3;17311041020415;7311041020418;820324;;SIRUP LYS 500G ELDORADO;8;bx;0,5;kg;0,5;13,78;110,24;27,56;;;J;50;Tørrvare / Ingen krav;;;N;UNIL AS;15;1428;336;0;84;0;84;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7311041020418/as/large.jpg;https://bilder.ngdata.no/7311041020418/campaign/large.jpg;;Sirup;Sirupen har en flytende form og en fin, lys gyllen farge. Det brukes i stor grad til baking og annen matlaging.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1012;SUKKER;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161509;Naturlig sukker eller søtningsprodukter;1;7311041100356;7311041000359;867101;;SUKKER 1KG ELDORADO;10;pos;1;kg;1;23,53;235,3;23,53;;;N;333;Tørrvare / Ingen krav;;;N;UNIL AS;15;1700;400;0;100;0;100;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7311041000359/as/large.jpg;https://bilder.ngdata.no/7311041000359/campaign/large.jpg;;Sukker (100 %). ;Hvitt sukker.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1013;SUKKERBITER;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161509;Naturlig sukker eller søtningsprodukter;1;27035620030318;27035620030318;3101896;;SUKKERBITER 2PK ELDORADO;1;krt;4,4;kg;4,4;210,98;210,98;47,95;;;N;50;Tørrvare / Ingen krav;0;0;N;UNIL AS;15;1700;400;0;100;0;100;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/27035620030318/as/large.jpg;https://bilder.ngdata.no/27035620030318/campaign/large.jpg;;Sukrose.;Sukkerbiter av hvitt sukker. Pakket i porsjoner à to stykk. Passer godt til varme drikker. Leveres i eske à 7,5 kg.
